Species,latitude,longitude
E_BU8_Eulimnogammarus_verrucosus(west)_COI,53.850447,108.657667
E_D1_Eulimnogammarus_verrucosus(eastern)_COI,54.356008,109.498817
E_D2_Eulimnogammarus_verrucosus(eastern)_COI,54.356008,109.498817
E_N1_Eulimnogammarus_verrucosus(west)_COI,55.066700,109.106722
E_N2_Eulimnogammarus_verrucosus(west)_COI,55.066700,109.106722
E_L2_Eulimnogammarus_verrucosus(southern)_COI,51.729172,103.728525
E_L3_Eulimnogammarus_verrucosus(southern)_COI,51.729172,103.728525
E_Y4_Eulimnogammarus_verrucosus(west)_COI,51.870575,104.828272
E_Y9_Eulimnogammarus_verrucosus(west)_COI,51.870575,104.828272
E_2M1_Eulimnogammarus_verrucosus(west)_COI,53.203578,107.343833
E_2M3_Eulimnogammarus_verrucosus(west)_COI,53.203578,107.343833
E_O1_Eulimnogammarus_verrucosus(west)_COI,53.067431,107.314583
E_O5_Eulimnogammarus_verrucosus(west)_COI,53.067431,107.314583
E_Q1_Eulimnogammarus_verrucosus(west)_COI,53.616944,107.616778
E_Q2_Eulimnogammarus_verrucosus(west)_COI,53.616944,107.616778
E_P1_Eulimnogammarus_verrucosus(west)_COI,54.029944,108.256833
E_H1_Eulimnogammarus_verrucosus(west)_COI,54.011808,108.243164
E_Pb9_Eulimnogammarus_verrucosus(southern)_COI,51.870736,104.811797
E_Pb14_Eulimnogammarus_verrucosus(southern)_COI,51.870736,104.811797
E_S2_Eulimnogammarus_verrucosus(west)_COI,55.618122,109.354014
E_S3_Eulimnogammarus_verrucosus(west)_COI,55.618122,109.354014
E_Sol1_Eulimnogammarus_verrucosus(west)_COI,54.116756,108.284508
E_Sol2_Eulimnogammarus_verrucosus(west)_COI,54.116756,108.284508
E_SN1_Eulimnogammarus_verrucosus(eastern)_COI,53.691556,108.696214
E_SN2_Eulimnogammarus_verrucosus(eastern)_COI,53.691556,108.696214
E_UN1_Eulimnogammarus_verrucosus(west)_COI,52.833333,106.709222
E_UN2_Eulimnogammarus_verrucosus(west)_COI,52.833333,106.709222
E_UB1_Eulimnogammarus_verrucosus(eastern)_COI,53.378406,108.982000
E_UB2_Eulimnogammarus_verrucosus(eastern)_COI,53.378406,108.982000
E_W1_Eulimnogammarus_verrucosus(west)_COI,51.903639,105.101933
E_W2_Eulimnogammarus_verrucosus(west)_COI,51.903639,105.101933
E_Z1_Eulimnogammarus_verrucosus(west)_COI,54.283864,108.467708
E_Z2_Eulimnogammarus_verrucosus(west)_COI,54.283864,108.467708
E_A1_Eulimnogammarus_cyaneus_COI,51.528819,104.150917
AY926663_Eulimnogammarus_maacki_COI,53.856254,108.630190
AY926662.1_Eulimnogammarus_inconspicuous_COI,51.903829,105.073168
AY926661.1_Eulimnogammarus_cruentus_COI,51.903829,105.073168
AY926665.1_Eulimnogammarus_viridulus_COI,53.856254,108.630190
AY926664.1_Eulimnogammarus_viridis_COI,51.903829,105.073168
E_B2_Eulimnogammarus_cyaneus_COI,55.356944,109.199389
E_2K1_Eulimnogammarus_cyaneus_COI,51.903242,105.068781
E_BU1_Eulimnogammarus_cyaneus_COI,53.850447,108.657667
E_V1_Eulimnogammarus_cyaneus_COI,51.694172,105.762000
E_N3_Eulimnogammarus_cyaneus_COI,55.066700,109.106722
E_Y1_Eulimnogammarus_cyaneus_COI,51.870575,104.828272
E_2M5_Eulimnogammarus_cyaneus_COI,53.203578,107.343833
E_Q1_Eulimnogammarus_cyaneus_COI,53.616944,107.616778
E_P1_Eulimnogammarus_cyaneus_COI,54.029944,108.256833
E_H3_Eulimnogammarus_cyaneus_COI,54.011808,108.243164
E_Pb3_Eulimnogammarus_cyaneus_COI,51.870736,104.811797
E_S1_Eulimnogammarus_cyaneus_COI,55.618122,109.354014
E_Sol3_Eulimnogammarus_cyaneus_COI,54.116756,108.284508
E_SN1_Eulimnogammarus_cyaneus_COI,53.691556,108.696214
E_UN2_Eulimnogammarus_cyaneus_COI,52.833333,106.709222
E_Z1_Eulimnogammarus_cyaneus_COI,54.283864,108.467708
E_B26_Eulimnogammarus_vittatus2_COI,55.356944,109.199389
E_Y01_Eulimnogammarus_vittatus_COI,51.870575,104.828272
E_K16_Eulimnogammarus_vittatus_COI,51.903242,105.068781
E_AY926666.1_Eulimnogammarus_vittatus_COI,53.203578,107.343833
A10_Eulimnogammarus_verrucosus(angara)_18S,52.282444,104.261889
A85_Eulimnogammarus_verrucosus(angara)_18S,52.251139,104.320639
E3_Eulimnogammarus_verrucosus(southern)_18S,52.262111,104.282389
E104_Eulimnogammarus_verrucosus(southern)_18S,52.282444,104.261889
E108_Eulimnogammarus_verrucosus(southern)_18S,52.254417,104.278528
A189_Eulimnogammarus_verrucosus(angara)_18S,56.251028,101.818722
E213_Eulimnogammarus_verrucosus(west)_18S,51.892111,104.822944
E218_Eulimnogammarus_verrucosus(southern)_18S,51.892111,104.822944
A33_Eulimnogammarus_verrucosus(angara2)_COI,52.288556,104.266944
A34_Eulimnogammarus_verrucosus(angara)_COI,52.244361,104.350917
A36_Eulimnogammarus_verrucosus(angara)_COI,52.244361,104.350917
A39_Eulimnogammarus_verrucosus(angara)_COI,52.244361,104.350917
A56_Eulimnogammarus_verrucosus(angara2)_COI,52.243417,104.307778
A87_Eulimnogammarus_verrucosus(angara)_COI,52.251139,104.320639
A88_Eulimnogammarus_verrucosus(angara)_COI,52.251139,104.320639
A100_Eulimnogammarus_verrucosus(angara)_COI,52.251139,104.320639
A107_Eulimnogammarus_verrucosus(angara)_COI,52.233611,104.319111
A108_Eulimnogammarus_verrucosus(angara)_COI,52.233611,104.319111
A110_Eulimnogammarus_verrucosus(angara)_COI,52.233611,104.319111
A111_Eulimnogammarus_verrucosus(angara)_COI,52.233611,104.319111
E1_Eulimnogammarus_verrucosus(southern)_COI,52.262111,104.282389
E2_Eulimnogammarus_verrucosus(southern)_COI,52.262111,104.282389
E3_Eulimnogammarus_verrucosus(southern)_COI,52.262111,104.282389
